class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
MultiplyGradientsMatchingRegexTest,cartoonify/app/object_detection/utils/variables_helper_test.py,3,3,0,1.0,10,2,39,0,19.5,1,0,0
FreezeGradientsMatchingRegexTest,cartoonify/app/object_detection/utils/variables_helper_test.py,2,2,0,1.0,9,2,25,0,12.5,1,0,0
GetVariablesAvailableInCheckpointTest,cartoonify/app/object_detection/utils/variables_helper_test.py,3,3,0,1.0,15,2,55,0,27.5,1,0,0
InputDataFields,cartoonify/app/object_detection/core/standard_fields.py,22,0,0,1.0,22,2,57,0,28.5,1,0,0
DetectionResultFields,cartoonify/app/object_detection/core/standard_fields.py,10,0,0,1.0,10,2,26,0,13.0,1,0,0
BoxListFields,cartoonify/app/object_detection/core/standard_fields.py,10,0,0,1.0,10,2,25,0,12.5,1,0,0
TfExampleFields,cartoonify/app/object_detection/core/standard_fields.py,32,0,0,1.0,32,2,71,0,35.5,1,0,0
TargetAssignerTest,cartoonify/app/object_detection/core/target_assigner_test.py,8,8,0,0.75,41,2,363,0,181.5,1,0,0
BatchTargetAssignerTest,cartoonify/app/object_detection/core/target_assigner_test.py,7,7,0,1.0,51,2,285,0,142.5,1,0,0
CreateTargetAssignerTest,cartoonify/app/object_detection/core/target_assigner_test.py,1,1,0,1.0,14,2,40,0,20.0,1,0,0
PreprocessorTest,cartoonify/app/object_detection/core/preprocessor_test.py,107,107,0,0.854,237,2,2255,0,1127.5,1,0,0
BalancedPositiveNegativeSampler,cartoonify/app/object_detection/core/balanced_positive_negative_sampler.py,3,2,0,1.0,17,2,59,0,29.5,1,0,0
MulticlassNonMaxSuppressionTest,cartoonify/app/object_detection/core/post_processing_test.py,19,19,0,1.0,59,2,935,0,467.5,1,0,0
AnchorMatcherTest,cartoonify/app/object_detection/core/matcher_test.py,10,10,0,1.0,34,2,126,0,63.0,1,0,0
BoxCoder,cartoonify/app/object_detection/core/box_coder.py,7,5,1,0.0,10,2,73,0,36.5,1,0,0
BalancedPositiveNegativeSamplerTest,cartoonify/app/object_detection/core/balanced_positive_negative_sampler_test.py,4,4,2,0.333,13,2,58,0,29.0,1,0,0
TargetAssigner,cartoonify/app/object_detection/core/target_assigner.py,11,10,0,0.619,45,2,280,0,140.0,1,0,0
SortOrder,cartoonify/app/object_detection/core/box_list_ops.py,3,0,0,1.0,3,2,11,0,5.5,1,0,0
BoxListTest,cartoonify/app/object_detection/core/box_list_test.py,11,10,3,0.467,30,2,110,0,55.0,1,0,0
DataToNumpyParser,cartoonify/app/object_detection/core/data_parser.py,2,1,0,1.0,4,2,15,0,7.5,1,0,0
MinibatchSampler,cartoonify/app/object_detection/core/minibatch_sampler.py,5,3,0,1.0,12,2,52,0,26.0,1,0,0
KeypointOpsTest,cartoonify/app/object_detection/core/keypoint_ops_test.py,12,11,0,1.0,14,2,176,0,88.0,1,0,0
AnchorGenerator,cartoonify/app/object_detection/core/anchor_generator.py,8,6,0,1.0,16,2,105,0,52.5,1,0,0
MinibatchSamplerTest,cartoonify/app/object_detection/core/minibatch_sampler_test.py,5,5,0,1.0,16,2,57,0,28.5,1,0,0
DataDecoder,cartoonify/app/object_detection/core/data_decoder.py,3,1,0,1.0,4,2,17,0,8.5,1,0,0
RegionSimilarityCalculator,cartoonify/app/object_detection/core/region_similarity_calculator.py,4,2,0,1.0,9,2,29,0,14.5,1,0,0
IouSimilarity,cartoonify/app/object_detection/core/region_similarity_calculator.py,2,1,0,1.0,4,2,19,0,9.5,1,0,0
NegSqDistSimilarity,cartoonify/app/object_detection/core/region_similarity_calculator.py,2,1,0,1.0,4,2,20,0,10.0,1,0,0
IoaSimilarity,cartoonify/app/object_detection/core/region_similarity_calculator.py,2,1,0,1.0,4,2,18,0,9.0,1,0,0
MockBoxCoder,cartoonify/app/object_detection/core/box_coder_test.py,4,3,0,1.0,4,2,13,0,6.5,1,0,0
BoxCoderTest,cartoonify/app/object_detection/core/box_coder_test.py,1,1,0,1.0,15,2,23,0,11.5,1,0,0
BoxList,cartoonify/app/object_detection/core/box_list.py,15,14,0,0.538,27,2,168,0,84.0,1,0,0
WeightedL2LocalizationLossTest,cartoonify/app/object_detection/core/losses_test.py,4,4,0,1.0,16,2,70,0,35.0,1,0,0
WeightedSmoothL1LocalizationLossTest,cartoonify/app/object_detection/core/losses_test.py,1,1,0,1.0,14,2,24,0,12.0,1,0,0
WeightedIOULocalizationLossTest,cartoonify/app/object_detection/core/losses_test.py,1,1,0,1.0,11,2,18,0,9.0,1,0,0
WeightedSigmoidClassificationLossTest,cartoonify/app/object_detection/core/losses_test.py,3,3,0,1.0,14,2,89,0,44.5,1,0,0
SigmoidFocalClassificationLossTest,cartoonify/app/object_detection/core/losses_test.py,9,9,0,1.0,15,2,276,0,138.0,1,0,0
WeightedSoftmaxClassificationLossTest,cartoonify/app/object_detection/core/losses_test.py,3,3,0,1.0,15,2,91,0,45.5,1,0,0
BootstrappedSigmoidClassificationLossTest,cartoonify/app/object_detection/core/losses_test.py,3,3,0,1.0,14,2,89,0,44.5,1,0,0
HardExampleMinerTest,cartoonify/app/object_detection/core/losses_test.py,5,5,0,1.0,26,2,186,0,93.0,1,0,0
RegionSimilarityCalculatorTest,cartoonify/app/object_detection/core/region_similarity_calculator_test.py,3,3,0,1.0,23,2,51,0,25.5,1,0,0
BoxListOpsTest,cartoonify/app/object_detection/core/box_list_ops_test.py,35,34,0,0.889,117,2,572,0,286.0,1,0,0
ConcatenateTest,cartoonify/app/object_detection/core/box_list_ops_test.py,4,4,0,0.5,19,2,60,0,30.0,1,0,0
NonMaxSuppressionTest,cartoonify/app/object_detection/core/box_list_ops_test.py,7,7,0,1.0,17,2,126,0,63.0,1,0,0
CoordinatesConversionTest,cartoonify/app/object_detection/core/box_list_ops_test.py,6,6,0,1.0,15,2,94,0,47.0,1,0,0
BoxRefinementTest,cartoonify/app/object_detection/core/box_list_ops_test.py,5,5,0,1.0,14,2,84,0,42.0,1,0,0
BoxPredictor,cartoonify/app/object_detection/core/box_predictor.py,5,4,1,0.333,11,2,78,0,39.0,1,0,0
RfcnBoxPredictor,cartoonify/app/object_detection/core/box_predictor.py,4,3,1,0.333,37,2,134,0,67.0,1,0,0
MaskRCNNBoxPredictor,cartoonify/app/object_detection/core/box_predictor.py,4,3,0,0.667,32,2,175,0,87.5,1,0,0
ConvolutionalBoxPredictor,cartoonify/app/object_detection/core/box_predictor.py,3,2,0,1.0,35,2,138,0,69.0,1,0,0
Loss,cartoonify/app/object_detection/core/losses.py,4,2,0,1.0,11,2,49,0,24.5,1,0,0
WeightedL2LocalizationLoss,cartoonify/app/object_detection/core/losses.py,3,2,0,1.0,9,2,37,0,18.5,1,0,0
WeightedSmoothL1LocalizationLoss,cartoonify/app/object_detection/core/losses.py,3,2,0,1.0,11,2,42,0,21.0,1,0,0
WeightedIOULocalizationLoss,cartoonify/app/object_detection/core/losses.py,2,1,0,1.0,10,2,28,0,14.0,1,0,0
